Nazwa;KOSZT;KOSZ Z MARŻĄ;Pomiń marże;Opis;Main Flaga;Flaga;ItemCategory;ItemType;ItemGroupType;PLIK;Stackowanie;Instancja[OLD];visualInstance;Instancja [SAGA3];Waga;Tier;adminRank;hideNick;Liczba użyć;Stamina 1 Hit;HP 1 hit;Mana 1 Hit;Stamina;HP;MANA;Rodzaj Obrażeń;DMG;Zasięg;W: Siła;W: Zręczność;W: Inteligencja;healing_tick;efekt czaru;Instancja przemiany;Mob pokojowy;HP przemiany;W: Krąg;W: Mana;runeType;Przedmiot do naprawy;Wytrzymałość;canRob;Podatek Silden %;Podatek Geldern %;expirationTime;foodType;enduranceCost;arrowSpeed;Obuchowa;Pociski;Sieczna;Magia;Ogień;Upadek;Profesja;Kategoria;model nazwa;Craftowalne;Zdobywalne;Dla Gracza;Do katalogu?
Mały zestaw naprawczy;7,20;9,34;FAŁSZ;Umożliwia prowizoryczną naprawę uszkodzonego sprzętu (T1 - T2).;ITEM_CAT_NONE;-;Common;Common;AdminCommon;common;PRAWDA;ItMi_HerbPaket;-;ITMI_GS_COM_24;1;1;Gamemaster;FAŁSZ;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;FAŁSZ;BRAK;BRAK;BRAK;;BRAK;BRAK;PRAWDA;5;5;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;Metalurg;;ItMi_Packet.3ds;TAK;NIE;TAK;PRAWDA
Średni zestaw naprawczy;33,20;45,19;FAŁSZ;Zawiera podstawowe narzędzia i materiały do drobnych napraw (T3 - T4).;ITEM_CAT_NONE;-;Common;Common;AdminCommon;common;PRAWDA;KM_ITMI_PACKET_06;-;ITMI_GS_COM_25;1,2;2;Gamemaster;FAŁSZ;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;FAŁSZ;BRAK;BRAK;BRAK;;BRAK;BRAK;PRAWDA;5;5;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;Metalurg;;KM_ITMI_PACKET_06.3ds;TAK;NIE;TAK;PRAWDA
Duży zestaw naprawczy;61,85;97,78;FAŁSZ;Zawiera wszystko, czego potrzebujesz, aby naprawić nawet najbardziej zniszczony sprzęt (T5).;ITEM_CAT_NONE;-;Common;Common;AdminCommon;common;PRAWDA;KM_ITMI_PACKET_05;-;ITMI_GS_COM_26;1,5;4;Gamemaster;FAŁSZ;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;FAŁSZ;BRAK;BRAK;BRAK;;BRAK;BRAK;PRAWDA;5;5;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;Metalurg;;KM_ITMI_PACKET_05.3ds;TAK;NIE;TAK;PRAWDA
Mały zestaw naprawczy do pancerzy;7,20;9,34;FAŁSZ;Umożliwia prowizoryczną naprawę uszkodzonego sprzętu (T1 - T2).;ITEM_CAT_NONE;-;Common;Common;AdminCommon;common;PRAWDA;ItMi_HerbPaket;ITMI_GS_COM_24;ITMI_GS_COM_24_V1;1;1;Gamemaster;FAŁSZ;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;FAŁSZ;BRAK;BRAK;BRAK;;BRAK;BRAK;PRAWDA;5;5;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;Metalurg;;ItMi_Packet.3ds;TAK;NIE;TAK;PRAWDA
Średni zestaw naprawczy do pancerzy;33,20;45,19;FAŁSZ;Zawiera podstawowe narzędzia i materiały do drobnych napraw (T3 - T4).;ITEM_CAT_NONE;-;Common;Common;AdminCommon;common;PRAWDA;ItMi_HerbPaket;ITMI_GS_COM_25;ITMI_GS_COM_25_V1;1;2;Gamemaster;FAŁSZ;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;FAŁSZ;BRAK;BRAK;BRAK;;BRAK;BRAK;PRAWDA;5;5;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;Metalurg;;KM_ITMI_PACKET_06.3ds;TAK;NIE;TAK;PRAWDA
Duży zestaw naprawczy do pancerzy;61,85;97,78;FAŁSZ;Zawiera wszystko, czego potrzebujesz, aby naprawić nawet najbardziej zniszczony sprzęt (T5).;ITEM_CAT_NONE;-;Common;Common;AdminCommon;common;PRAWDA;ItMi_HerbPaket;ITMI_GS_COM_26;ITMI_GS_COM_26_V1;1;4;Gamemaster;FAŁSZ;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;FAŁSZ;BRAK;BRAK;BRAK;;BRAK;BRAK;PRAWDA;5;5;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;Metalurg;;KM_ITMI_PACKET_05.3ds;TAK;NIE;TAK;PRAWDA
Zestaw do szycia;8,28;10,89;FAŁSZ;Niezbędny do naprawy podartej odzieży, zwłaszcza po spotkaniu z zębaczem (T1 - T2).;ITEM_CAT_NONE;-;Common;Common;AdminCommon;common;PRAWDA;KM_ITMI_PACKET_02;ITMI_GS_COM_24;ITMI_GS_COM_24_V2;0,5;1;Gamemaster;FAŁSZ;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;FAŁSZ;BRAK;BRAK;BRAK;;BRAK;BRAK;PRAWDA;5;5;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;Kaletnik;Inne;KM_ITMI_PACKET_02.3ds;TAK;NIE;TAK;PRAWDA
Wełniany zestaw do szycia;21,98;39,28;FAŁSZ;Zestaw do naprawy i tworzenia ubrań i pancerzy. Przydatny dla krawców i osób dbających o swój wygląd (T3 - T4).;ITEM_CAT_NONE;-;Common;Common;AdminCommon;common;PRAWDA;KM_ITMI_PACKET_01;ITMI_GS_COM_25;ITMI_GS_COM_25_V2;0,6;2;Gamemaster;FAŁSZ;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;FAŁSZ;BRAK;BRAK;BRAK;;BRAK;BRAK;PRAWDA;5;5;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;Kaletnik;Inne;KM_ITMI_PACKET_01.3ds;TAK;NIE;TAK;PRAWDA
Porządny zestaw do szycia;56,25;76,70;FAŁSZ;Zestaw do naprawy i tworzenia ubrań i pancerzy. Przydatny dla krawców i osób dbających o swój wygląd (T5).;ITEM_CAT_NONE;-;Common;Common;AdminCommon;common;PRAWDA;KM_ITMI_PACKET_01;ITMI_GS_COM_26;ITMI_GS_COM_26_V2;0,6;2;Gamemaster;FAŁSZ;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;FAŁSZ;BRAK;BRAK;BRAK;;BRAK;BRAK;PRAWDA;5;5;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;Kaletnik;Inne;KM_ITMI_PACKET_05.3ds;TAK;NIE;TAK;PRAWDA
Mały zestaw naprawczy do narzędzi;7,20;9,34;FAŁSZ;Umożliwia prowizoryczną naprawę uszkodzonego sprzętu (T1 - T2).;ITEM_CAT_NONE;-;Common;Common;AdminCommon;common;PRAWDA;ItMi_HerbPaket;ITMI_GS_COM_24;ITMI_GS_COM_24_V3;1;1;Gamemaster;FAŁSZ;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;FAŁSZ;BRAK;BRAK;BRAK;;BRAK;BRAK;PRAWDA;5;5;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;Metalurg;;ItMi_Packet.3ds;TAK;NIE;TAK;PRAWDA
